Computed_Block_Hash,Previous_Block_Hash,Next_Block_Hash,Merkle_Root,Timestamp,Nonce,BlockReward,Transaction_Hash,Input_Addresses,Transaction_Hash_of_Inputs,Input_Amount,Output_Addresses,Output_Amount
0000000009b35360c2046d14e4d5972fc1c41bc2c67f963bbb3497623c15f651,00000000435237ec511b7921fbacd58e6362586ee6ed114525873e156bebe671,000000008d1094720ae4f22693d7b4226f581ca03a2295dde57bc242a264fe4b,96be72888a40d78b2f7c3cd05736c2139d10976c30c2ff1e0ed7b19521fb6308,01/25/2009 14:05:59,2059557176,50.000000,96be72888a40d78b2f7c3cd05736c2139d10976c30c2ff1e0ed7b19521fb6308,,0000000000000000000000000000000000000000000000000000000000000000 ,,1K9dVMY1jdBixBrvDqpyWfRn5BgZWfmdxT ,50.000000 
000000008d1094720ae4f22693d7b4226f581ca03a2295dde57bc242a264fe4b,0000000009b35360c2046d14e4d5972fc1c41bc2c67f963bbb3497623c15f651,000000000d3fbaa25f0227c92f29637a5ae5c86d3b580b4501c36ac81341f375,5b0b43891fd3e399369a76518db3e8805450e4a23205dde94fab42107714f77e,01/25/2009 14:14:38,1839652889,50.000000,5b0b43891fd3e399369a76518db3e8805450e4a23205dde94fab42107714f77e,,0000000000000000000000000000000000000000000000000000000000000000 ,,1FYB1uz1mDjunb5jShWh6hyVnWHYqbdra ,50.000000 
000000000d3fbaa25f0227c92f29637a5ae5c86d3b580b4501c36ac81341f375,000000008d1094720ae4f22693d7b4226f581ca03a2295dde57bc242a264fe4b,00000000b60006aa4228517957f825de73774ef378ecac7aaf794491c0057326,96f26c354ff5d553d39ef466193fca54de5653addffae77b12825af01d6ebe73,01/25/2009 14:16:43,3674781220,50.000000,96f26c354ff5d553d39ef466193fca54de5653addffae77b12825af01d6ebe73,,0000000000000000000000000000000000000000000000000000000000000000 ,,1CFhaHNiuL8uMRsvkLwz6T4ach4e3Qi23p ,50.000000 
00000000b60006aa4228517957f825de73774ef378ecac7aaf794491c0057326,000000000d3fbaa25f0227c92f29637a5ae5c86d3b580b4501c36ac81341f375,00000000a261e79d42b6b6cb44caf88caa09688b4e945230f725a5d24ef9cdc8,b65e925ea15d9d36b0afd6080ff430a0af92ea70f8711870153a5078b3c26d8a,01/25/2009 14:22:42,3787161347,50.000000,b65e925ea15d9d36b0afd6080ff430a0af92ea70f8711870153a5078b3c26d8a,,0000000000000000000000000000000000000000000000000000000000000000 ,,1LzivgKhYiyTUVDN3vRWpgcRDPjc4AzDQs ,50.000000 
00000000a261e79d42b6b6cb44caf88caa09688b4e945230f725a5d24ef9cdc8,00000000b60006aa4228517957f825de73774ef378ecac7aaf794491c0057326,00000000d4c2a115266ddb1b20aed4f868efc0b331bc0b912cbf9b833a7074a1,65f8f302c2e17e16e3a4bc679a587633e1e54579a300264936402ce1d8d00c72,01/25/2009 14:41:01,3427533092,50.000000,65f8f302c2e17e16e3a4bc679a587633e1e54579a300264936402ce1d8d00c72,,0000000000000000000000000000000000000000000000000000000000000000 ,,1KTB6yF68SLdwLuEarWC1Ctwh3JbBzGYav ,50.000000 
00000000d4c2a115266ddb1b20aed4f868efc0b331bc0b912cbf9b833a7074a1,00000000a261e79d42b6b6cb44caf88caa09688b4e945230f725a5d24ef9cdc8,00000000d12068880fc7112623ea833c31ebc94e7d61e474fb86ecdc6f963230,5f460bf603707fd7d3b0e1ccb8031ea952f443b76ce64ff994ed074f1931f22d,01/25/2009 14:47:01,2241039379,50.000000,5f460bf603707fd7d3b0e1ccb8031ea952f443b76ce64ff994ed074f1931f22d,,0000000000000000000000000000000000000000000000000000000000000000 ,,1Hpp6sr2zHFhpVJKSiMYZERbRQsbMngTUp ,50.000000 
00000000d12068880fc7112623ea833c31ebc94e7d61e474fb86ecdc6f963230,00000000d4c2a115266ddb1b20aed4f868efc0b331bc0b912cbf9b833a7074a1,00000000e655a6b283f0b716725fd5681aa41b08a679d65b1564ec8515ef45f0,208ea1805b956c4cfa6a1164f48b2460f9e15ac73fa253bbd99d212da2ed5ad5,01/25/2009 15:03:52,1043134750,50.000000,208ea1805b956c4cfa6a1164f48b2460f9e15ac73fa253bbd99d212da2ed5ad5,,0000000000000000000000000000000000000000000000000000000000000000 ,,1MUDBv7Ao5Vjnh2XWnRBbaL5hXXyVMMguk ,50.000000 
00000000e655a6b283f0b716725fd5681aa41b08a679d65b1564ec8515ef45f0,00000000d12068880fc7112623ea833c31ebc94e7d61e474fb86ecdc6f963230,0000000077a1b71cb25955f6f73aa3fb9860df1f98f7f16d295fbd843c61cd77,94b5366e663e586bb6f591cbf5e3d780efd07cef6a43e4a18c41a4da85aacc70,01/25/2009 15:07:49,649861406,50.000000,94b5366e663e586bb6f591cbf5e3d780efd07cef6a43e4a18c41a4da85aacc70,,0000000000000000000000000000000000000000000000000000000000000000 ,,13tULPcypQjFFWPhphFNnzD357S8R1335S ,50.000000 
0000000077a1b71cb25955f6f73aa3fb9860df1f98f7f16d295fbd843c61cd77,00000000e655a6b283f0b716725fd5681aa41b08a679d65b1564ec8515ef45f0,0000000040d9e6d28ab52d7998b4cf33ab98e149a9ee0c07caea1b74bafd0f51,460b1094ab146a20e7c667be957b682cdb550df6f0a242f30b17de4ef89091bd,01/25/2009 15:18:15,1749860901,50.000000,460b1094ab146a20e7c667be957b682cdb550df6f0a242f30b17de4ef89091bd,,0000000000000000000000000000000000000000000000000000000000000000 ,,16rwTW5mda6n3YfNhQSqNFqYPFwLsHDSvn ,50.000000 
0000000040d9e6d28ab52d7998b4cf33ab98e149a9ee0c07caea1b74bafd0f51,0000000077a1b71cb25955f6f73aa3fb9860df1f98f7f16d295fbd843c61cd77,000000006a88eef081b653d0bc7cbc7296c7bcf0bf60c0c92586fd4d6a0c9fae,585221761063f2d8147373fe6eb5cc17b1f142d33f39bdd93821a5ecc4d31502,01/25/2009 15:25:46,1751567142,50.000000,585221761063f2d8147373fe6eb5cc17b1f142d33f39bdd93821a5ecc4d31502,,0000000000000000000000000000000000000000000000000000000000000000 ,,1EHiqFbhQvHzEtb4U88yi7KJ9x5cRqvK3z ,50.000000 
